dataset,column,count_non_empty,count_empty
atomic_transition_events,transition_id,38948,0
atomic_transition_events,element,38948,0
atomic_transition_events,ion_stage,38948,0
atomic_transition_events,deltaE_eV,35450,3498
atomic_transition_events,tau_s,38948,0
atomic_transition_events,nu_Hz,38948,0
atomic_transition_events,Q_proxy,38948,0
atomic_transition_events,deltaJ,38679,269
atomic_transition_events,parity_change,38948,0
atomic_transition_events,wavelength_nm,38948,0
atomic_transition_events,Aki,38948,0
astrophysical_transient_events,event_id,3,0
astrophysical_transient_events,name,3,0
astrophysical_transient_events,transient_class,3,0
astrophysical_transient_events,source_catalog,3,0
astrophysical_transient_events,redshift,3,0
astrophysical_transient_events,distance_Mpc,3,0
astrophysical_transient_events,peak_abs_mag,3,0
astrophysical_transient_events,L_proxy,3,0
astrophysical_transient_events,rise_time_days,3,0
astrophysical_transient_events,decay_time_days,3,0
astrophysical_transient_events,width_days,3,0
astrophysical_transient_events,t0_days,3,0
astrophysical_transient_events,asymmetry,3,0
astrophysical_transient_events,width_norm,3,0
astrophysical_transient_events,event_strength,3,0
astrophysical_transient_events,t_char_s,3,0
astrophysical_transient_events,omega_mode,3,0
astrophysical_transient_events,Q_eff,3,0
astrophysical_transient_events,chi_loss,3,0
astrophysical_transient_events,tail_strength,3,0
astrophysical_transient_events,tail_energy_proxy,3,0
astrophysical_transient_events,shape_1,3,0
astrophysical_transient_events,shape_2,3,0
astrophysical_transient_events,number_of_points,3,0
atomic_transition_passports,object_id,38948,0
atomic_transition_passports,domain,38948,0
atomic_transition_passports,element,38948,0
atomic_transition_passports,ion_stage,38948,0
atomic_transition_passports,omega_mode,35356,3592
atomic_transition_passports,t_char_s,35356,3592
atomic_transition_passports,Q_eff,35356,3592
atomic_transition_passports,chi_loss,35356,3592
atomic_transition_passports,c_theta,38948,0
atomic_transition_passports,L_eff_m,35356,3592
atomic_transition_passports,kappa_eff_m^-1,35356,3592
atomic_transition_passports,tail_strength,35356,3592
atomic_transition_passports,tail_energy_proxy,35356,3592
atomic_transition_passports,shape_1,35356,3592
atomic_transition_passports,shape_2,35356,3592
atomic_transition_passports,passport_status,38948,0
atomic_transition_passports,source_catalog,38948,0
astrophysical_flash_transition_passports,object_id,3,0
astrophysical_flash_transition_passports,domain,3,0
astrophysical_flash_transition_passports,name,3,0
astrophysical_flash_transition_passports,transient_class,3,0
astrophysical_flash_transition_passports,omega_mode,3,0
astrophysical_flash_transition_passports,t_char_s,3,0
astrophysical_flash_transition_passports,Q_eff,3,0
astrophysical_flash_transition_passports,chi_loss,3,0
astrophysical_flash_transition_passports,c_theta,3,0
astrophysical_flash_transition_passports,L_eff_m,3,0
astrophysical_flash_transition_passports,kappa_eff_m^-1,3,0
astrophysical_flash_transition_passports,tail_strength,3,0
astrophysical_flash_transition_passports,tail_energy_proxy,3,0
astrophysical_flash_transition_passports,shape_1,3,0
astrophysical_flash_transition_passports,shape_2,3,0
astrophysical_flash_transition_passports,passport_status,3,0
astrophysical_flash_transition_passports,source_catalog,3,0
unified_transition_passports,object_id,38951,0
unified_transition_passports,domain,38951,0
unified_transition_passports,omega_mode,35359,3592
unified_transition_passports,t_char_s,35359,3592
unified_transition_passports,Q_eff,35359,3592
unified_transition_passports,chi_loss,35359,3592
unified_transition_passports,c_theta,38951,0
unified_transition_passports,L_eff_m,35359,3592
unified_transition_passports,kappa_eff_m^-1,35359,3592
unified_transition_passports,tail_strength,35359,3592
unified_transition_passports,tail_energy_proxy,35359,3592
unified_transition_passports,shape_1,35359,3592
unified_transition_passports,shape_2,35359,3592
unified_transition_passports,passport_status,38951,0
unified_transition_passports,class_hint,38951,0
unified_transition_passports,source_catalog,38951,0
cluster_ready_transition_passports,object_id,35359,0
cluster_ready_transition_passports,domain,35359,0
cluster_ready_transition_passports,log_omega,35359,0
cluster_ready_transition_passports,log_t,35359,0
cluster_ready_transition_passports,log_Q,35359,0
cluster_ready_transition_passports,log_L_eff,35359,0
cluster_ready_transition_passports,log_kappa,35359,0
cluster_ready_transition_passports,log_tail_strength,35359,0
cluster_ready_transition_passports,shape_1,35359,0
cluster_ready_transition_passports,shape_2,35359,0
cluster_ready_transition_passports,passport_status,35359,0
cluster_ready_transition_passports,class_hint,35359,0
